cluster_code,article_code,article_url,parent_pillar_url,has_pillar_link,required_sibling_urls,current_sibling_links,missing_sibling_links,orphan_status,suggested_anchor_1,suggested_anchor_2,suggested_anchor_3,rank_math_notes,editor_status,last_updated
A,A1,,,,,,,,,,,,To Do,
A,A2,,,,,,,,,,,,To Do,
A,A3,,,,,,,,,,,,To Do,
A,A4,,,,,,,,,,,,To Do,
A,A5,,,,,,,,,,,,To Do,
B,B1,,,,,,,,,,,,To Do,
B,B2,,,,,,,,,,,,To Do,
B,B3,,,,,,,,,,,,To Do,
B,B4,,,,,,,,,,,,To Do,
B,B5,,,,,,,,,,,,To Do,
C,C1,,,,,,,,,,,,To Do,
C,C2,,,,,,,,,,,,To Do,
C,C3,,,,,,,,,,,,To Do,
C,C4,,,,,,,,,,,,To Do,
C,C5,,,,,,,,,,,,To Do,
D,D1,,,,,,,,,,,,To Do,
D,D2,,,,,,,,,,,,To Do,
D,D3,,,,,,,,,,,,To Do,
D,D4,,,,,,,,,,,,To Do,
D,D5,,,,,,,,,,,,To Do,
E,E1,,,,,,,,,,,,To Do,
E,E2,,,,,,,,,,,,To Do,
E,E3,,,,,,,,,,,,To Do,
E,E4,,,,,,,,,,,,To Do,
E,E5,,,,,,,,,,,,To Do,
F,F1,,,,,,,,,,,,To Do,
F,F2,,,,,,,,,,,,To Do,
F,F3,,,,,,,,,,,,To Do,
F,F4,,,,,,,,,,,,To Do,
F,F5,,,,,,,,,,,,To Do,
